Username,Profile URL,GitHub ID,Year_Group,Public_Repositories,Lifetime_Commits
abdulsamad-zz,https://github.com/abdulsamad-zz,4478334,2013-05,1,0
usmani93,https://github.com/usmani93,4352121,2013-05,38,132
tariqgm,https://github.com/tariqgm,4310012,2013-05,5,9
mfahadahmed,https://github.com/mfahadahmed,4477057,2013-05,11,73
asifkhi123,https://github.com/asifkhi123,4347082,2013-05,1,1
sheraz758,https://github.com/sheraz758,4472208,2013-05,1,2
mutahar-alam,https://github.com/mutahar-alam,4321072,2013-05,16,25
mfahadkhan,https://github.com/mfahadkhan,4543639,2013-05,2,1
waaleedkhan,https://github.com/waaleedkhan,4310613,2013-05,6,39
ArsalanYaqoob,https://github.com/ArsalanYaqoob,4476679,2013-05,9,1
gatewaydakbar,https://github.com/gatewaydakbar,4476881,2013-05,6,8
InfinityLoopers,https://github.com/InfinityLoopers,4382839,2013-05,3,2
mirzak2,https://github.com/mirzak2,4363955,2013-05,0,0
fahad91,https://github.com/fahad91,4451488,2013-05,2,3
shujaat-haider,https://github.com/shujaat-haider,4424738,2013-05,2,3
ALI104,https://github.com/ALI104,4497722,2013-05,0,0
smaa666,https://github.com/smaa666,4319990,2013-05,0,0
gahse,https://github.com/gahse,4549884,2013-05,7,114
quaideazam,https://github.com/quaideazam,4501051,2013-05,3,9
syedabdullah,https://github.com/syedabdullah,4328238,2013-05,0,0
aqsarshad,https://github.com/aqsarshad,4537420,2013-05,1,6
FaizanDurrani,https://github.com/FaizanDurrani,4832034,2013-06,41,110
syedjawadhashmi,https://github.com/syedjawadhashmi,4591966,2013-06,33,129
aftabsikander,https://github.com/aftabsikander,4800511,2013-06,169,160
alirazabhayani,https://github.com/alirazabhayani,4738669,2013-06,22,44
Haideralee,https://github.com/Haideralee,4715743,2013-06,46,69
mareebsiddiqui,https://github.com/mareebsiddiqui,4663551,2013-06,19,97
sirmujahid,https://github.com/sirmujahid,4703900,2013-06,25,31
rashidabbas,https://github.com/rashidabbas,4605152,2013-06,4,29
amirhere,https://github.com/amirhere,4748449,2013-06,12,51
smn-khan,https://github.com/smn-khan,4815904,2013-06,1,0
t-khan-k,https://github.com/t-khan-k,4752437,2013-06,10,112
Imran110,https://github.com/Imran110,4669350,2013-06,6,9
rafayfarooq92,https://github.com/rafayfarooq92,4699477,2013-06,8,17
Jaikumar330,https://github.com/Jaikumar330,4745046,2013-06,1,0
shiirazkhan,https://github.com/shiirazkhan,4653419,2013-06,2,0
rameezanjum,https://github.com/rameezanjum,4762569,2013-06,3,17
zmali1,https://github.com/zmali1,4713172,2013-06,5,21
shahjee,https://github.com/shahjee,4786318,2013-06,3,2
hsohu,https://github.com/hsohu,4763011,2013-06,0,0
Junaidayub,https://github.com/Junaidayub,4842155,2013-06,0,0
alinoman91,https://github.com/alinoman91,4866554,2013-06,0,0
MaRyAmJaVeD,https://github.com/MaRyAmJaVeD,4642236,2013-06,1,0
ruwaidsidd,https://github.com/ruwaidsidd,4687787,2013-06,2,1
hoshoo21,https://github.com/hoshoo21,4757063,2013-06,72,248
usamaadil,https://github.com/usamaadil,4867320,2013-06,0,0
hmnajam,https://github.com/hmnajam,5098925,2013-07,119,202
ArhumIshtiaq,https://github.com/ArhumIshtiaq,5040609,2013-07,47,160
hunainkapadia,https://github.com/hunainkapadia,4960708,2013-07,5,1802
ammarali67,https://github.com/ammarali67,4955931,2013-07,4,0
tahirafridi,https://github.com/tahirafridi,4971486,2013-07,3,36
MShaheer,https://github.com/MShaheer,4920885,2013-07,25,146
hakamshah,https://github.com/hakamshah,5125852,2013-07,3,1
zaheerehmad,https://github.com/zaheerehmad,4983903,2013-07,11,19
FarrukhSaleem,https://github.com/FarrukhSaleem,4987961,2013-07,25,141
ngfarjad,https://github.com/ngfarjad,4947393,2013-07,23,86
msbh,https://github.com/msbh,4945825,2013-07,13,52
salmaniqbal92,https://github.com/salmaniqbal92,4976597,2013-07,10,13
dost2dost,https://github.com/dost2dost,5059953,2013-07,71,1025
farhancss,https://github.com/farhancss,5046088,2013-07,4,9
asif-elastica,https://github.com/asif-elastica,5129103,2013-07,1,0
nandlal-tjm,https://github.com/nandlal-tjm,5101781,2013-07,7,19
MuhammadNasir,https://github.com/MuhammadNasir,4948129,2013-07,0,0
imtiaz-ishaque,https://github.com/imtiaz-ishaque,4955991,2013-07,25,90
ibadullah,https://github.com/ibadullah,5110548,2013-07,0,0
zahidq76,https://github.com/zahidq76,5110156,2013-07,0,0
lazisaien,https://github.com/lazisaien,5058944,2013-07,1,144
qurbanali,https://github.com/qurbanali,5114572,2013-07,0,0
aalikhokhar,https://github.com/aalikhokhar,5052929,2013-07,1,1
SanaGhouri09,https://github.com/SanaGhouri09,5040804,2013-07,4,0
ImadAlavi,https://github.com/ImadAlavi,5067711,2013-07,4,7
tanveeru,https://github.com/tanveeru,5062465,2013-07,0,0
ejazasi,https://github.com/ejazasi,5133438,2013-07,1,0
safdar-tp,https://github.com/safdar-tp,4939797,2013-07,11,0
